bundle_type,part_no,quantity,description,category,unit_price_aed,line_amount_aed
OPAL 15 STANDALONE USB UPDATE,OP-150CP,1,"15"" OPAL PLUS Embedded Lift Display",Display,9256,9256
OPAL 15 STANDALONE USB UPDATE,OPAL_BKT-150,1,MOUNTING BRACKET  BACKWARD COMPATIBILITY EMOTIVE iS2,Bracket,65,65
OPAL 15 STANDALONE USB UPDATE,CT-E10-SPI,1,Master Encoder (LAN Interface-SPI Controller),Controller,594,594
OPAL 15 STANDALONE USB UPDATE,CT-24V/5A,1,Power Supply 24V 5A,Power,410,410
OPAL 15 LAN NETWORK,OP-150CP,1,"15"" OPAL PLUS Embedded Lift Display",Display,9256,9256
OPAL 15 LAN NETWORK,OPAL_BKT-150,1,MOUNTING BRACKET  BACKWARD COMPATIBILITY EMOTIVE iS2,Bracket,65,65
OPAL 15 LAN NETWORK,CT-E10-SPI,1,Master Encoder (LAN Interface-SPI Controller),Controller,594,594
OPAL 15 LAN NETWORK,CT-24V/5A,1,Power Supply 24V 5A,Power,410,410
OPAL 15 LAN NETWORK,CT-SPE10,1,2 Wire To Single Port Network Interface With Din Mount,2 Wire,594,594
OPAL 15 LAN NETWORK,CT-SWITCH-4P,1,Unmanaged 4 port Din-rail,N/w Switch,378,378
OPAL 15 LAN NETWORK,ACC-CAT6,1,Cat6-CB,Cat6,45,45
OPAL 15 LAN NETWORK,SR-PC,1,CMS Server Unit,Server,4616,4616
OPAL 15 MULTICASTING,OP-150CP,1,"15"" OPAL PLUS Embedded Lift Display",Display,9256,9256
OPAL 15 MULTICASTING,OPAL_BKT-150,1,MOUNTING BRACKET  BACKWARD COMPATIBILITY EMOTIVE iS2,Bracket,65,65
OPAL 15 MULTICASTING,CT-E10-SPI,1,Master Encoder (LAN Interface-SPI Controller),Controller,594,594
OPAL 15 MULTICASTING,CT-24V/5A,1,Power Supply 24V 5A,Power,410,410
OPAL 15 MULTICASTING,CT-SPE10,1,2 Wire To Single Port Network Interface With Din Mount,2 Wire,594,594
OPAL 15 MULTICASTING,CT-SWITCH-4P,1,Unmanaged 4 port Din-rail,N/w Switch,378,378
OPAL 15 MULTICASTING,ACC-CAT6,1,Cat6-CB,Cat6,45,45
OPAL 15 MULTICASTING,SR-PC,1,CMS Server Unit,Server,4616,4616
OPAL 15 MULTICASTING,OP-DUALHDMI/HLS,1,Matrox® Maevex 6122 Dual HDMI Encoder with HLS Streaming,Encoder,19595,19595
OPAL 15 MULTICASTING,SR-PGM,1,Layout Designer Software,Software,480,480
OPAL 12.1 STANDALONE USB UPDATE,OP-120CP,1,"12.1"" OPAL PLUS Embedded Lift Display",Display,9256,9256
OPAL 12.1 STANDALONE USB UPDATE,OPAL_BKT-150,1,MOUNTING BRACKET  BACKWARD COMPATIBILITY EMOTIVE iS2,Bracket,65,65
OPAL 12.1 STANDALONE USB UPDATE,CT-E10-SPI,1,Master Encoder (LAN Interface-SPI Controller),Controller,594,594
OPAL 12.1 STANDALONE USB UPDATE,CT-24V/5A,1,Power Supply 24V 5A,Power,410,410
OPAL 12.1 LAN NETWORK,OP-150CP,1,"15"" OPAL PLUS Embedded Lift Display",Display,9256,9256
OPAL 12.1 LAN NETWORK,OPAL_BKT-150,1,MOUNTING BRACKET  BACKWARD COMPATIBILITY EMOTIVE iS2,Bracket,65,65
OPAL 12.1 LAN NETWORK,CT-E10-SPI,1,Master Encoder (LAN Interface-SPI Controller),Controller,594,594
OPAL 12.1 LAN NETWORK,CT-24V/5A,1,Power Supply 24V 5A,Power,410,410
OPAL 12.1 LAN NETWORK,CT-SPE10,1,2 Wire To Single Port Network Interface With Din Mount,2 Wire,594,594
OPAL 12.1 LAN NETWORK,CT-SWITCH-4P,1,Unmanaged 4 port Din-rail,N/w Switch,378,378
OPAL 12.1 LAN NETWORK,ACC-CAT6,1,Cat6-CB,Cat6,45,45
OPAL 12.1 LAN NETWORK,SR-PC,1,CMS Server Unit,Server,4616,4616
OPAL 12.1 MULTICASTING,OP-150CP,1,"15"" OPAL PLUS Embedded Lift Display",Display,9256,9256
OPAL 12.1 MULTICASTING,OPAL_BKT-150,1,MOUNTING BRACKET  BACKWARD COMPATIBILITY EMOTIVE iS2,Bracket,65,65
OPAL 12.1 MULTICASTING,CT-E10-SPI,1,Master Encoder (LAN Interface-SPI Controller),Controller,594,594
OPAL 12.1 MULTICASTING,CT-24V/5A,1,Power Supply 24V 5A,Power,410,410
OPAL 12.1 MULTICASTING,CT-SPE10,1,2 Wire To Single Port Network Interface With Din Mount,2 Wire,594,594
OPAL 12.1 MULTICASTING,CT-SWITCH-4P,1,Unmanaged 4 port Din-rail,N/w Switch,378,378
OPAL 12.1 MULTICASTING,ACC-CAT6,1,Cat6-CB,Cat6,45,45
OPAL 12.1 MULTICASTING,SR-PC,1,CMS Server Unit,Server,4616,4616
OPAL 12.1 MULTICASTING,OP-DUALHDMI/HLS,1,Matrox® Maevex 6122 Dual HDMI Encoder with HLS Streaming,Encoder,19595,19595
OPAL 12.1 MULTICASTING,SR-PGM,1,Layout Designer Software,Software,480,480
OPAL 10.4 STANDALONE USB UPDATE,OP-120CP,1,"12.1"" OPAL PLUS Embedded Lift Display",Display,9256,9256
OPAL 10.4 STANDALONE USB UPDATE,OPAL_BKT-150,1,MOUNTING BRACKET  BACKWARD COMPATIBILITY EMOTIVE iS2,Bracket,65,65
OPAL 10.4 STANDALONE USB UPDATE,CT-E10-SPI,1,Master Encoder (LAN Interface-SPI Controller),Controller,594,594
OPAL 10.4 STANDALONE USB UPDATE,CT-24V/5A,1,Power Supply 24V 5A,Power,410,410
OPAL 10.4 LAN NETWORK,OP-150CP,1,"15"" OPAL PLUS Embedded Lift Display",Display,9256,9256
OPAL 10.4 LAN NETWORK,OPAL_BKT-150,1,MOUNTING BRACKET  BACKWARD COMPATIBILITY EMOTIVE iS2,Bracket,65,65
OPAL 10.4 LAN NETWORK,CT-E10-SPI,1,Master Encoder (LAN Interface-SPI Controller),Controller,594,594
OPAL 10.4 LAN NETWORK,CT-24V/5A,1,Power Supply 24V 5A,Power,410,410
OPAL 10.4 LAN NETWORK,CT-SPE10,1,2 Wire To Single Port Network Interface With Din Mount,2 Wire,594,594
OPAL 10.4 LAN NETWORK,CT-SWITCH-4P,1,Unmanaged 4 port Din-rail,N/w Switch,378,378
OPAL 10.4 LAN NETWORK,ACC-CAT6,1,Cat6-CB,Cat6,45,45
OPAL 10.4 LAN NETWORK,SR-PC,1,CMS Server Unit,Server,4616,4616
OPAL 10.4 MULTICASTING,OP-150CP,1,"15"" OPAL PLUS Embedded Lift Display",Display,9256,9256
OPAL 10.4 MULTICASTING,OPAL_BKT-150,1,MOUNTING BRACKET  BACKWARD COMPATIBILITY EMOTIVE iS2,Bracket,65,65
OPAL 10.4 MULTICASTING,CT-E10-SPI,1,Master Encoder (LAN Interface-SPI Controller),Controller,594,594
OPAL 10.4 MULTICASTING,CT-24V/5A,1,Power Supply 24V 5A,Power,410,410
OPAL 10.4 MULTICASTING,CT-SPE10,1,2 Wire To Single Port Network Interface With Din Mount,2 Wire,594,594
OPAL 10.4 MULTICASTING,CT-SWITCH-4P,1,Unmanaged 4 port Din-rail,N/w Switch,378,378
OPAL 10.4 MULTICASTING,ACC-CAT6,1,Cat6-CB,Cat6,45,45
OPAL 10.4 MULTICASTING,SR-PC,1,CMS Server Unit,Server,4616,4616
OPAL 10.4 MULTICASTING,OP-DUALHDMI/HLS,1,Matrox® Maevex 6122 Dual HDMI Encoder with HLS Streaming,Encoder,19595,19595
OPAL 10.4 MULTICASTING,SR-PGM,1,Layout Designer Software,Software,480,480
"18.5"" OPAL HD DUAL SCREEN",OP-185HD&T[2.0],1,"OPAL HD Dual Screen 18.5""",Screen,19700,19700
"18.5"" OPAL HD DUAL SCREEN",PLC_185HD&T-LN,1,"LOAD NOTICE 18.5"" custom Black/White lettering",PLC,815,815
"18.5"" OPAL HD DUAL SCREEN",CT-E10-SPI,1,Master Encoder (LAN Interface-SPI Controller),Controller,594,594
"18.5"" OPAL HD DUAL SCREEN",CT-LCE12,4,12 Port Input/Output Interface Card For - KONE LCE Controller,Interface Card,650,2600
"18.5"" OPAL HD DUAL SCREEN",CT-2W4L,1,4 Port LAN to 2 wire VDSL2 adapto,,1170,1170
"18.5"" OPAL HD DUAL SCREEN",CT-24V/5A,1,Power Supply 24V 5A,Power,410,410
"18.5"" OPAL HD DUAL SCREEN",CB-LAN0.3M,1,CAT5 0.3M LAN Cable,,30,30
"19"" LANDING DUAL OPAL","19"" OPAL SCP",1,"19"" Landing DUAL OPAL 19""",Screen,9870,9870
"19"" LANDING DUAL OPAL",PLC_190,1,"19""  Polycarbonate Window",Window,470,470
"19"" LANDING DUAL OPAL",CT-24V/5A,1,Power Supply 24V 5A,Power,410,410
"15.6"" Touchwo Ultraslim BS Series",RF-156US,1,"15.6"" Touchwo Ultraslim BS Series",Screen,3750,3750
"15.6"" Touchwo Ultraslim BS Series",FO-CONV,2,Travelling cable media converter,Cable,350,700
"15.6"" Touchwo Ultraslim BS Series",FX-BR,1,Brackets,Bracket,200,200
" 24 ""Panorama HDMI ",WIN-240P-HDMI,1," 24 ""Panorama HDMI - 700nits peak brightness with inbuilt Speakers & Exhaust system", Screen,2820,2820
" 24 ""Panorama HDMI ",WIN-280P-HDMI,1," 28"" Panorama HDMI - 700nits peak brightness with inbuilt Speakers & Exhaust system", Screen,3310,3310
" 24 ""Panorama HDMI ",WIN-385P-HDMI,1,"38.5""  Panorama HDMI - 700nits peak brightness with inbuilt Speakers & Exhaust system", Screen,4290,4290
"15.6"" Ultra Slim FHD Lift",RC-156BS-HDMI,1,"15.6"" ENGRID Ultra Slim FHD Lift Screens - HDMI", Screen,2680,2680
"21.5"" Ultra Slim FHD Lift",RC-215BS-HDMI,1,"21.5"""" ENGRID Ultra Slim FHD Lift Screens - HDMI", Screen,3220,3220
"23.5"" Ultra Slim FHD Lift",RC-235BS-HDMI,1,"23.5"" ENGRID Ultra Slim FHD Lift Screens - HDMI", Screen,3620,3620
